ONE,TWO,THREE,FOUR
23,86,13,52
91,99,99,68
59,45,24,62
19,76,50,51
23,9,87,44
73,99,65,95
87,36,96,53
82,6,84,97
66,16,31,87
98,26,24,19
53,11,71,53
31,56,24,5
53,92,60,72
60,91,53,24
19,49,52,9
21,20,59,21
94,22,89,93
47,30,85,66
39,5,87,91
55,32,73,90
50,6,73,73
8,80,70,63
38,86,19,59
0,17,33,36
43,95,91,80
89,97,64,64
65,34,31,2
71,1,58,56
17,86,98,12
3,47,67,87
68,40,62,57
53,17,88,6
95,21,10,24
63,56,28,98
35,62,54,75
60,7,3,33
86,12,55,69
88,27,79,93
82,18,77,92
61,57,85,39
88,86,93,90
43,79,79,46
9,78,78,9
68,58,29,77
15,63,44,46
16,99,10,22
17,6,86,13
98,19,61,85
97,44,30,99
73,95,43,81
1,61,84,96
41,61,85,92
93,55,75,16
82,6,86,90
44,18,93,34
21,1,74,25
90,46,34,66
86,8,78,32
48,84,78,72
0,53,74,74
15,21,98,64
85,71,21,82
46,1,51,98
71,19,65,44
99,16,6,87
78,63,2,91
43,72,36,83
8,68,60,88
66,78,55,17
73,97,73,61
83,42,37,56
61,29,53,35
7,32,7,3
1,78,85,34
26,56,23,32
46,54,86,96
13,29,76,85
7,40,95,58
91,49,82,49
50,75,74,1
0,68,74,19
76,94,6,22
44,41,24,76
67,2,34,30
86,53,88,34
9,69,81,40
71,2,66,83
61,68,31,52
74,50,27,0
51,44,77,89
99,98,99,22
51,2,94,63
5,66,53,66
97,24,84,46
37,50,3,94
10,1,17,22
9,54,16,6
19,54,18,95
12,78,39,32
73,62,13,10
